QUERY;CIRCE;SEMANTIC;OVERLAP
creazione oggetti casa;['46.44.3', '47.59.2'];['32.99.3', '32.40.2', '43.91.0', '31.02.0', '16.23.2', '43.99.0', '22.29.0', '31.09.1', '23.13.0', '98.10.0'];0
il commercio, anche per conto terzi ed anche in qualita' di agente eo rappresentante, l'importazione e l'esportazione di autoveicoli;['45.11.0'];['46.14.0', '66.12.0', '45.11.0', '68.31.0', '45.31.0', '02.40.0', '45.19.0', '79.11.0'];1
l attivita svolta e commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati;['47.42.0'];['47.54.0', '46.52.0', '47.42.0', '47.41.0', '47.19.2', '47.74.0', '47.89.0', '47.63.0', '47.43.0'];1
fabbricazione di birra;['11.05.0'];['23.14.0', '26.20.0', '20.14.0', '11.05.0', '26.11.0', '23.19.9', '10.51.2', '56.30.0', '26.52.0', '10.42.0'];1
salone di estetica;['96.02.0'];['85.52.0', '96.02.0', '86.22.0', '59.20.3', '86.23.0', '45.20.3', '20.42.0', '92.00.0'];1
commercio al dettaglio ricambiper autoveicoli;['45.32.0', '47.30.0', '45.11.0'];['47.30.0', '47.52.1', '47.54.0', '47.51.1', '47.43.0', '47.78.4', '45.11.0', '45.31.0', '45.32.0', '45.19.0'];1
commercio materiale edile;['46.73.2', '46.13.0', '47.52.3'];['47.52.1', '47.51.1', '47.79.3', '46.41.1', '47.52.3', '46.47.1', '35.14.0', '46.73.2', '47.79.2', '47.78.3'];1
vendita corsi cinofili;['96.09.0'];['47.52.4', '85.51.0', '46.75.0', '85.52.0', '45.11.0', '46.23.0', '46.38.9', '85.59.2', '45.19.0'];0
ricerca sulla popolazione;['72.19.0'];['78.10.0', '72.20.0', '80.30.0', '85.59.1', '72.11.0', '96.09.0', '73.20.0', '72.19.0', '56.29.1', '63.99.0'];1
attivitonnesse e a supporto delle attivitgricole e zootecnia;['01.62.0'];['90.02.0', '91.04.0', '84.12.4', '01.61.0', '09.10.0', '94.99.4', '94.99.6', '85.60.0', '94.99.2', '93.19.9'];0
consulenza tributaria e fiscale;['69.20.1'];['62.02.0', '69.10.1', '74.90.2', '70.22.0', '69.20.1', '66.19.2', '74.90.3', '88.99.0', '85.60.0'];1
trasmissione e ricezione dati;['61.30.0'];['63.11.2', '82.19.0', '52.29.2', '35.12.0', '61.90.9', '35.14.0', '63.11.1', '63.12.0', '36.00.0', '33.20.0'];0
commercio ferramenta utensileria;['47.52.1', '46.74.1'];['47.52.1', '46.15.0', '46.44.1', '46.69.1', '46.49.9', '46.62.0', '25.73.1', '46.74.1', '47.59.2', '47.78.3'];1
servizio assistenza anziani;['87.10.0'];['74.90.1', '75.00.0', '88.91.0', '88.10.0', '87.30.0', '87.10.0', '96.09.0', '49.42.0', '53.20.0', '96.02.0'];1
associazione dilettantistica corsa;['93.12.0'];['85.59.9', '85.51.0', '85.52.0', '93.11.9', '94.99.6', '93.12.0', '94.99.2', '77.21.0', '93.19.9'];1
detersivi per scuola;['20.41.1'];['81.29.1', '85.51.0', '20.20.0', '46.44.3', '81.22.0', '46.18.9', '81.29.9', '85.59.3', '47.78.6', '22.29.0'];0
docente di informatica;['85.59.2'];['62.02.0', '95.11.0', '85.51.0', '85.52.0', '47.41.0', '85.60.0', '85.59.2', '74.10.2'];1
interventi finalizzati alla salvaguardia del ambiente;['43.39.0'];['02.20.0', '71.20.2', '84.25.2', '81.30.0', '01.61.0', '09.10.0', '84.25.1', '94.99.6', '90.03.0', '39.00.0'];0
addetta al bancone;['90.03.0'];['56.10.4', '64.19.4', '28.23.0', '66.19.4', '26.20.0', '64.99.3', '96.09.0', '64.11.0', '64.19.1', '66.19.1'];0
coltivazione di pioppi;['02.10.0'];['01.12.0', '01.23.0', '01.19.1', '01.30.0', '01.27.0', '01.49.3', '01.11.2', '01.21.0', '01.26.0', '01.13.3'];0
commercio ambulante mobili;['47.89.0'];['56.10.4', '64.99.1', '47.82.0', '46.47.1', '47.89.0', '47.81.0'];1
confezioni di articoli di abbigliamento;['14.13.1'];['14.11.0', '14.13.2', '14.19.2', '14.13.1', '14.20.0', '14.12.0', '14.14.0', '13.92.1', '47.71.1', '14.19.1'];1
costruzione di elevatori meccanici;['28.22.0'];['30.12.0', '28.92.0', '43.91.0', '30.30.0', '42.21.0', '42.91.0', '25.91.0', '28.22.0', '25.62.0', '42.12.0'];1
costruzione su beni propri;['68.10.0', '68.20.0'];['30.12.0', '43.91.0', '16.23.2', '42.91.0', '68.10.0', '43.11.0', '41.20.0', '43.99.0', '68.20.0', '98.10.0'];1
affitto di ramo di azienda;['68.20.0'];['77.32.0', '77.29.9', '24.44.0', '77.39.9', '77.29.1', '68.20.0', '77.31.0', '96.03.0', '77.21.0'];1
docente per la formazione;['85.32.0', '85.41.0', '85.59.3', '85.59.2'];['85.59.9', '85.51.0', '82.19.0', '84.12.2', '85.52.0', '85.42.0', '85.59.3', '85.60.0', '85.59.2'];1
commercio dettaglio articoli sportivi, da regalo e bigiotteria;['47.64.1'];['47.78.5', '47.72.1', '47.78.9', '47.71.3', '47.64.1', '47.77.0', '47.72.2', '47.71.1', '47.78.3'];1
santi caterina e prospero;[];['64.19.4', '01.45.0', '33.11.0', '87.20.0', '96.09.0', '01.16.0', '47.11.2', '46.38.3', '33.12.5'];0
agente di commercio utensileria;['46.14.0', '46.15.0'];['66.22.0', '46.15.0', '46.14.0', '46.12.0', '46.18.2', '46.11.0', '47.89.0'];1
attivita di supporto produzione vegetale;['01.61.0'];['01.30.0', '71.20.2', '01.27.0', '01.19.1', '90.02.0', '01.61.0', '09.10.0', '01.16.0', '02.40.0', '10.39.0'];1
altri servizi non classificati altrove;['n.c.   '];['85.59.9', '61.10.0', '96.09.0', '81.29.9', '88.99.0', '74.90.9', '53.20.0', '82.99.9', '63.99.0', '79.90.1'];0
legna da ardere;['02.20.0'];['02.20.0', '01.11.3', '32.99.9', '02.10.0', '01.15.0', '05.20.0', '84.25.1', '94.99.6', '93.29.9', '38.22.0'];1
vendita online oggetti handmade;['47.91.1'];['47.52.1', '47.79.3', '46.49.9', '47.91.1', '45.11.0', '47.79.2', '45.19.0', '47.78.3'];1
altre attivita di consulenza manageriale;['78.10.0', 'n.c.   '];['74.90.2', '70.22.0', '82.99.9', '96.09.0', '85.60.0', '74.90.9', '58.19.0', '63.99.0', '74.10.9'];0
distribuzione di prodotti saponi;['46.44.3'];['73.11.0', '46.45.0', '46.44.3', '52.29.2', '47.99.2', '46.18.9', '35.13.0', '47.78.6', '20.42.0', '36.00.0'];1
commercio all ingrosso attrezzature;['46.69.9'];['47.52.1', '46.69.3', '46.52.0', '46.42.1', '46.43.1', '46.69.1', '47.42.0', '46.66.0', '46.47.3', '46.69.9'];1
commercio dettaglio costruzione;['n.c.   '];['47.54.0', '47.52.1', '47.51.1', '47.59.1', '47.52.3', '47.41.0', '46.73.2', '47.26.0', '47.59.5', '47.78.3'];0
commercio prodotti cura della persona;['20.42.0'];['47.75.1', '46.46.1', '73.11.0', '47.73.1', '46.46.3', '47.71.1', '47.52.2', '47.29.3', '47.78.3'];0
business intelligence group;['73.20.0'];['62.02.0', '70.22.0', '80.30.0', '69.20.1', '82.99.9', '94.11.0', '27.11.0', '66.19.2', '82.91.2', '46.19.0'];0
arte del giardino;['81.30.0'];['02.20.0', '01.23.0', '01.19.1', '01.30.0', '01.27.0', '95.22.0', '85.52.0', '47.76.1', '46.22.0', '01.19.2'];0
museo percorsi guidati;['91.02.0'];['85.51.0', '79.90.2', '85.52.0', '91.02.0', '43.12.0', '93.21.0', '79.90.1', '88.99.0', '91.03.0', '47.78.3'];1
attivita dei dottori commercialisti;['69.20.1'];['68.32.0', '69.10.1', '46.12.0', '69.20.1', '69.10.2', '64.99.3', '69.20.3', '86.90.3'];1
servizi vari per manifestazioni e spettacoli;['79.90.1'];['90.02.0', '96.03.0', '96.09.0', '77.39.9', '43.29.0', '56.21.0', '93.29.9', '43.21.0', '79.90.1'];1
riparazione a ntenne;['n.c.   '];['33.12.1', '95.25.0', '95.11.0', '45.20.1', '95.12.0', '95.22.0', '95.29.0', '33.12.5'];0
stampaggio ad iniezione;['22.29.0'];['95.11.0', '13.30.0', '28.23.0', '26.20.0', '20.30.0', '28.41.0', '18.11.0', '25.73.1', '26.11.0', '25.61.0'];0
gestione siti on line;['62.01.0', '63.11.3', '74.10.2'];['93.13.0', '93.11.1', '01.61.0', '52.21.3', '93.11.9', '49.50.2', '93.11.2', '63.12.0', '58.19.0', '92.00.0'];0
consulenza su disposizioni arredamento;['73.11.0'];['62.02.0', '73.11.0', '74.90.2', '95.29.0', '68.31.0', '95.24.0', '66.19.2', '90.03.0'];1
attivita mediche amministrative;['n.c.   '];['68.32.0', '86.90.4', '84.25.2', '81.22.0', '84.22.0', '68.31.0', '69.20.1', '79.90.1', '86.23.0', '84.21.0'];0
impianti di estrusione;['24.42.0'];['27.90.0', '06.20.0', '42.21.0', '22.21.0', '20.51.0', '30.11.0', '43.21.0', '33.20.0'];0
consulenza produzione video;['59.11.0'];['62.02.0', '73.11.0', '74.90.2', '26.40.0', '66.19.2', '59.11.0', '90.03.0', '74.90.9', '18.20.0'];1
servizi alla vendita di beni;['46.19.0'];['53.20.0', '64.99.1', '47.79.3', '52.29.2', '66.12.0', '69.20.1', '68.31.0', '49.42.0', '74.90.9', '79.90.1'];0
analisi dati intelligenza artificiale;['63.11.1'];['18.13.0', '63.11.2', '82.19.0', '71.20.1', '66.11.0', '80.30.0', '73.20.0', '63.11.1', '63.12.0', '86.90.1'];1
altre attivita di design nca;['74.10.9'];['43.29.0', '94.99.9', '96.09.0', '81.29.9', '43.99.0', '74.90.9', '93.29.9', '74.10.9', '93.19.9'];1
commercio al dettaglio di prodotti vari, mediante l'intervento di un dimostratore o di un incaricato alla vendita porta a;['47.99.1'];['47.91.2', '47.99.1', '47.65.0', '47.91.1', '45.11.0', '47.42.0', '46.69.2', '47.11.5', '47.89.0', '47.78.3'];1
impianti industria alimentare;['71.12.1'];['10.85.0', '81.22.0', '27.51.0', '20.11.0', '26.60.0', '46.69.2', '28.93.0', '33.20.0'];0
assistenza e manutenzione macchine enologiche;['46.69.9', '28.93.0'];['33.12.9', '33.12.1', '33.12.6', '33.11.0', '33.12.7', '33.12.5'];0
produzione chimica base;['46.75.0', '20.13.0', '20.14.0', '20.59.9'];['19.20.4', '20.14.0', '20.59.9', '21.10.0', '23.51.0', '20.59.2', '20.13.0', '20.53.0', '10.89.0', '20.42.0'];1
sistemi di riscaldamento;['28.21.2'];['45.20.1', '43.91.0', '46.43.1', '46.74.2', '26.30.2', '28.21.2', '96.04.2', '28.25.0', '27.52.0'];1
servizi integrati di gestione agli edifici;['81.10.0'];['82.11.0', '81.10.0', '52.21.2', '93.11.3', '71.12.2', '01.61.0', '80.20.0', '63.11.1', '38.22.0', '79.90.1'];1
consulente progetti comunicazione;['70.22.0'];['62.02.0', '73.11.0', '73.12.0', '70.21.0', '66.19.2', '90.03.0', '69.20.3', '74.10.2'];0
lavorazione componenti in ottone;['27.40.0', '28.14.0'];['10.83.0', '26.70.1', '30.91.2', '14.19.2', '14.13.1', '23.19.9', '22.29.0', '25.11.0', '31.09.4', '14.19.1'];0
part in legno diporto;['30.12.0'];['30.12.0', '33.19.0', '16.29.1', '46.14.0', '46.69.1', '22.29.0', '33.15.0', '16.21.0', '16.23.2', '31.09.4'];1
prestazioni sanitarie paramediche tecniche;['86.90.2'];['82.11.0', '86.90.2', '86.22.0', '81.22.0', '86.21.0', '87.10.0', '74.90.9', '32.50.1', '33.20.0'];1
disegno e vendita gioielli prodotti da terzi;['32.12.1'];['32.12.2', '95.25.0', '74.10.1', '96.09.0', '46.48.0', '02.40.0', '32.40.1', '32.12.1', '66.19.3', '32.13.0'];1
gestione poliambulatorio di logopedia;['86.22.0', '86.90.2'];['52.21.5', '55.90.1', '93.13.0', '93.11.3', '93.11.1', '52.21.3', '52.10.2', '93.11.2', '49.50.1', '19.10.0'];0
produzione e miscelazione bitume modificato;['23.99.0'];['23.99.0', '30.92.1', '10.61.4', '19.20.4', '20.59.3', '20.60.0', '26.51.2', '23.51.0', '20.59.4', '20.17.0'];1
commercio all'ingrosso di frutta secca;['46.31.2'];['46.34.2', '46.38.1', '46.21.1', '46.34.1', '47.21.0', '46.35.0', '46.31.1', '46.31.2', '46.21.2'];1
produzione di caffe;['10.83.0'];['46.37.0', '10.85.0', '10.11.0', '10.82.0', '11.05.0', '10.51.2', '10.71.2', '28.93.0', '10.83.0', '10.81.0'];1
porte tagliafuoco e maniglioni;['25.12.1'];['27.90.0', '16.10.0', '25.12.1', '33.11.0', '43.32.0', '28.22.0', '43.29.0', '46.73.2', '47.78.3'];1
metallurgia , lavorazione lamiere;['25.50.0'];['33.12.9', '25.99.3', '25.50.0', '33.11.0', '24.41.0', '24.10.0', '25.99.9', '25.11.0', '25.61.0', '28.91.0'];1
attivita' tecniche svolte da geometri;['71.12.3'];['71.12.3', '71.11.0', '71.12.1', '94.12.2', '74.10.3', '74.90.9', '86.90.3', '74.10.2', '74.10.9'];1
altre attivita trasporto terreste;['52.22.0'];['74.20.1', '52.21.9', '74.10.9', '45.20.9', '52.22.0', '77.39.1', '58.19.0', '49.39.0', '52.24.4', '39.00.0'];1
direzione didattica circolo domodossola;['84.12.2'];['85.53.0', '85.51.0', '85.52.0', '33.11.0', '85.31.1', '88.99.0', '85.60.0', '64.92.0'];0
progetti di ricerca in ambito educativo;['72.11.0'];['78.10.0', '85.51.0', '72.20.0', '84.12.2', '72.19.0', '85.59.3', '85.60.0', '72.11.0', '92.00.0'];1
associazioni di volontariato;['94.99.5'];['94.99.9', '94.99.5', '94.99.1', '94.92.0', '94.99.4', '94.11.0', '94.99.6', '94.12.2', '94.99.2', '94.99.3'];1
attiviti produzione e consulenza nel campo della cultura;['88.99.0'];['69.10.1', '90.02.0', '84.12.4', '01.61.0', '70.22.0', '93.19.1', '59.11.0', '74.90.9', '90.01.0', '84.21.0'];0
