main,code,title,description,exclusion_title,exclusion_list,exclusion_description,level
A,01.1,coltivazione di colture agricole non permanenti,"Questo gruppo include la coltivazione di colture non permanenti, ossia piante che non durano più di due stagioni agricole. È inclusa la coltivazione di queste piante per la produzione di sementi.",,,,gruppo
A,01.2,coltivazione di colture permanenti,"Questo gruppo include la coltivazione di colture permanenti, ossia di piante che durano nel terreno più di due annate agrarie, che pur morendo stagionalmente ricrescono in modo costante. È inclusa la coltivazione di queste piante per la produzione di sementi.",,,,gruppo
A,01.3,riproduzione delle piante,,,,,gruppo
A,01.4,allevamento di animali,"Questo gruppo include l'allevamento e la riproduzione di tutti gli animali (esclusa la fauna acquatica). Sono escluse le seguenti attività: - gestione e cura del bestiame per conto terzi, cfr. 01.62 - produzione di pellame proveniente dai macelli, cfr. 10.11",,"- gestione e cura del bestiame per conto terzi, cfr. 01.62 - produzione di pellame proveniente dai macelli, cfr. 10.11",esclusa la fauna acquatica,gruppo
A,01.5,coltivazioni agricole associate all'allevamento di animali: attività mista,,,,,gruppo
A,01.6,attività di supporto all'agricoltura e attività successive alla raccolta,"Questo gruppo include le attività connesse alla produzione agricola e le attività similari non finalizzate alla raccolta di prodotti agricoli, effettuate per conto terzi. Sono anche incluse le attività che seguono la raccolta, mirate alla preparazione dei prodotti agricoli per il mercato primario.",,,,gruppo
A,01.7,"caccia, cattura di animali e servizi connessi",,,,,gruppo
A,02.1,silvicoltura ed altre attività forestali,,,,,gruppo
A,02.2,utilizzo di aree forestali,,,,,gruppo
A,02.3,raccolta di prodotti selvatici non legnosi,,,,,gruppo
A,02.4,servizi di supporto per la silvicoltura,,,,,gruppo
A,03.1,pesca,"Questo gruppo include ""la cattura di fauna marina"", ossia le attività di caccia, rimozione e cattura di organismi acquatici viventi (generalmente pesci, molluschi e crostacei), incluse le alghe provenienti da acque oceaniche, costiere o interne, destinate al consumo da parte dell'uomo e ad altri scopi, effettuate a mano o più generalmente tramite attrezzature da pesca come reti e trappole in linea o stazionarie. Tali attività possono essere condotte sulla linea costiera litorale (per esempio, la raccolta di molluschi come cozze ed ostriche), tramite cattura con reti a terra, utilizzando imbarcazioni in acque interne, costiere o in mare aperto. Tali attività includono anche la pesca professionale in specchi d'acqua ripopolati.",,,,gruppo
A,03.2,acquacoltura,"Questo gruppo include ""l'acquacoltura"" (o aquafarming), ossia il processo di produzione che prevede la coltivazione o l'allevamento (inclusa la raccolta) di organismi acquatici (pesci, molluschi, crostacei, piante, coccodrilli, alligatori e anfibi) utilizzando tecniche progettate per aumentare la produzione di tali organismi, oltre la capacità naturale dell'ambiente (per esempio, nutrimento regolare e difesa dai predatori).",,,,gruppo
B,05.1,estrazione di antracite,,,,,gruppo
B,05.2,estrazione di lignite,,,,,gruppo
B,06.1,estrazione di petrolio greggio,,,,,gruppo
B,06.2,estrazione di gas naturale,,,,,gruppo
B,07.1,estrazione di minerali metalliferi ferrosi,,,,,gruppo
B,07.2,estrazione di minerali metalliferi non ferrosi,,,,,gruppo
B,08.1,"estrazione di pietra, sabbia e argilla",,,,,gruppo
B,08.9,estrazione di minerali da cave e miniere n.c.a.,,,,,gruppo
B,09.1,attività di supporto all'estrazione di petrolio e di gas naturale,,,,,gruppo
B,09.9,attività di supporto per l'estrazione da cave e miniere di altri minerali,,,,,gruppo
C,10.1,lavorazione e conservazione di carne e produzione di prodotti a base di carne,,,,,gruppo
C,10.2,"lavorazione e conservazione di pesce, crostacei e molluschi",,,,,gruppo
C,10.3,lavorazione e conservazione di frutta e ortaggi,,,,,gruppo
C,10.4,produzione di oli e grassi vegetali e animali,"Questo gruppo include la produzione di oli e grassi grezzi e raffinati di origine vegetale o animale, eccetto la fusione o la lavorazione di strutto e altri grassi animali commestibili.",,,,gruppo
C,10.5,industria lattiero-casearia,,,,,gruppo
C,10.6,"lavorazione delle granaglie, produzione di amidi e di prodotti amidacei","Questo gruppo include la molitura di farina o sfarinati di granaglie o ortaggi, la molitura, la pulitura e la lucidatura del riso, oltre alla produzione di farine miscelate o impasti di tali prodotti. In questo gruppo si include anche la macinatura umida del granoturco e degli ortaggi, nonché la produzione di amido e prodotti amidacei.",,,,gruppo
