CHIAVE,ID_NOTA,ELEMENTO_IT,ATTIVITA_IT,COMBO_DIRETTA_IT,COMBO_PARLATA_IT,ATECO2025,IT_INDEX_CLEAN
,34346.0,acque salmastre [brackish waters],acquacoltura [aquaculture activities],"acque salmastre, acquacoltura",attività di acquacoltura in acque salmastre,03.21.09,"acque salmastre, acquacoltura"
,34344.0,acquari di acqua salata [salt water filled tanks],acquacoltura [land-based aquaculture activities],"acquari di acqua salata, acquacoltura",attività di acquacoltura in acquari di acqua salata,03.21.09,"acquari di acqua salata, acquacoltura"
,34344.0,vasche di acqua salata [salt water filled tanks],acquacoltura [land-based aquaculture activities],"vasche di acqua salata, acquacoltura",attività di acquacoltura in vasche di acqua salata,03.21.09,"vasche di acqua salata, acquacoltura"
,34344.0,bacini di acqua salata [salt water filled reservoirs],acquacoltura [land-based aquaculture activities],"bacini di acqua salata, acquacoltura",attività di acquacoltura in bacini di acqua salata,03.21.09,"bacini di acqua salata, acquacoltura"
,34349.0,crostacei in acqua di mare [crustaceans],allevamento [culture],"crostacei in acqua di mare, allevamento",allevamento di crostacei in acqua di mare,03.21.09,"crostacei in acqua di mare, allevamento"
,34349.0,bivalvi in acqua di mare [bivalves],allevamento [culture],"bivalvi in acqua di mare, allevamento",allevamento di bivalvi in acqua di mare,03.21.09,"bivalvi in acqua di mare, allevamento"
,34349.0,altri molluschi in acqua di mare [other molluscs],allevamento [culture],"altri molluschi in acqua di mare, allevamento",allevamento di altri molluschi in acqua di mare,03.21.09,"altri molluschi in acqua di mare, allevamento"
,34349.0,altri animali acquatici in acqua di mare [other aquatic animals],allevamento [culture],"altri animali acquatici in acqua di mare, allevamento",allevamento di altri animali acquatici in acqua di mare,03.21.09,"altri animali acquatici in acqua di mare, allevamento"
,34349.0,molluschi in acqua di mare [molluscs],allevamento [culture],"molluschi in acqua di mare, allevamento",allevamento di molluschi in acqua di mare,03.21.09,"molluschi in acqua di mare, allevamento"
,34349.0,animali acquatici in acqua di mare [aquatic animals],allevamento [culture],"animali acquatici in acqua di mare, allevamento",allevamento di animali acquatici in acqua di mare,03.21.09,"animali acquatici in acqua di mare, allevamento"
,34353.0,crostacei di acqua dolce [freshwater crustaceans],allevamento [culture],"crostacei di acqua dolce, allevamento",allevamento di crostacei di acqua dolce,03.22.09,"crostacei di acqua dolce, allevamento"
,34353.0,bivalvi di acqua dolce [freshwater bivalves],allevamento [culture],"bivalvi di acqua dolce, allevamento",allevamento di bivalvi di acqua dolce,03.22.09,"bivalvi di acqua dolce, allevamento"
,34353.0,altri molluschi di acqua dolce [freshwater other molluscs],allevamento [culture],"altri molluschi di acqua dolce, allevamento",allevamento di altri molluschi di acqua dolce,03.22.09,"altri molluschi di acqua dolce, allevamento"
,34353.0,altri animali acquatici di acqua dolce [freshwater other aquatic animals],allevamento [culture],"altri animali acquatici di acqua dolce, allevamento",allevamento di altri animali acquatici di acqua dolce,03.22.09,"altri animali acquatici di acqua dolce, allevamento"
,34353.0,molluschi di acqua dolce [freshwater molluscs],allevamento [culture],"molluschi di acqua dolce, allevamento",allevamento di molluschi di acqua dolce,03.22.09,"molluschi di acqua dolce, allevamento"
,34353.0,animali acquatici di acqua dolce [freshwater aquatic animals],allevamento [culture],"animali acquatici di acqua dolce, allevamento",allevamento di animali acquatici di acqua dolce,03.22.09,"animali acquatici di acqua dolce, allevamento"
,34345.0,pesci in acque marine [fish sea water],allevamento [farming],"pesci in acque marine, allevamento",allevamento di pesci in acque marine,03.21.09,"pesci in acque marine, allevamento"
,34345.0,pesci ornamentali in acque marine [marine ornamental fish],allevamento [farming],"pesci ornamentali in acque marine, allevamento",allevamento di pesci ornamentali in acque marine,03.21.09,"pesci ornamentali in acque marine, allevamento"
,34352.0,pesci in acque dolci [fish in freshwater],allevamento [farming],"pesci in acque dolci, allevamento",allevamento di pesci in acque dolci,03.22.09,"pesci in acque dolci, allevamento"
,34352.0,pesci ornamentali in acque dolci [ornamental fish in freshwater],allevamento [farming],"pesci ornamentali in acque dolci, allevamento",allevamento di pesci ornamentali in acque dolci,03.22.09,"pesci ornamentali in acque dolci, allevamento"
,34355.0,rane [frogs],allevamento [farming],"rane, allevamento",allevamento di rane,03.22.09,"rane, allevamento"
,35115.0,vermi da terra [land worm farms],allevamento [operation],"vermi da terra, allevamento",allevamento di vermi da terra,01.48.99,"vermi da terra, allevamento"
,35115.0,molluschi da terra [land mollusc farms],allevamento [operation],"molluschi da terra, allevamento",allevamento di molluschi da terra,01.48.99,"molluschi da terra, allevamento"
,35115.0,lumache da terra [land snail farms],allevamento [operation],"lumache da terra, allevamento",allevamento di lumache da terra,01.48.99,"lumache da terra, allevamento"
,29921.0,bovini da latte [dairy cattle],allevamento [raising],"bovini da latte, allevamento",allevamento di bovini da latte,01.41.00,"bovini da latte, allevamento"
,29921.0,bufale da latte [dairy buffaloes],allevamento [raising],"bufale da latte, allevamento",allevamento di bufale da latte,01.41.00,"bufale da latte, allevamento"
,29924.0,bovini da carne [cattle for meat],allevamento [raising],"bovini da carne, allevamento",allevamento di bovini da carne,01.42.00,"bovini da carne, allevamento"
,29924.0,bufalini da carne [buffaloes for meat],allevamento [raising],"bufalini da carne, allevamento",allevamento di bufalini da carne,01.42.00,"bufalini da carne, allevamento"
,29926.0,bovini da tiro [draft cattle],allevamento [raising],"bovini da tiro, allevamento",allevamento di bovini da tiro,01.42.00,"bovini da tiro, allevamento"
,29926.0,bufalini da tiro [draft buffaloes],allevamento [raising],"bufalini da tiro, allevamento",allevamento di bufalini da tiro,01.42.00,"bufalini da tiro, allevamento"
,29927.0,tori da combattimento [fighting bulls],allevamento [raising],"tori da combattimento, allevamento",allevamento di tori da combattimento,01.42.00,"tori da combattimento, allevamento"
,30016.0,cavalli [horses],allevamento [raising],"cavalli, allevamento",allevamento di cavalli,01.43.00,"cavalli, allevamento"
,30016.0,asini [asses],allevamento [raising],"asini, allevamento",allevamento di asini,01.43.00,"asini, allevamento"
,30016.0,muli [mules],allevamento [raising],"muli, allevamento",allevamento di muli,01.43.00,"muli, allevamento"
,30016.0,bardotti [hinnies],allevamento [raising],"bardotti, allevamento",allevamento di bardotti,01.43.00,"bardotti, allevamento"
,30017.0,cammelli [camels],allevamento [raising],"cammelli, allevamento",allevamento di cammelli,01.44.00,"cammelli, allevamento"
,30017.0,dromedari [dromedary],allevamento [raising],"dromedari, allevamento",allevamento di dromedari,01.44.00,"dromedari, allevamento"
,30017.0,camelidi [camelids],allevamento [raising],"camelidi, allevamento",allevamento di camelidi,01.44.00,"camelidi, allevamento"
,30021.0,ovini [sheep],allevamento [raising],"ovini, allevamento",allevamento di ovini,01.45.00,"ovini, allevamento"
,30021.0,caprini [goats],allevamento [raising],"caprini, allevamento",allevamento di caprini,01.45.00,"caprini, allevamento"
,30021.0,pecore [sheep],allevamento [raising],"pecore, allevamento",allevamento di pecore,01.45.00,"pecore, allevamento"
,30021.0,capre [goats],allevamento [raising],"capre, allevamento",allevamento di capre,01.45.00,"capre, allevamento"
