"code","level","title","description"
"A","sezione","AGRICOLTURA, SILVICOLTURA E PESCA","Nella sezione sono incluse le attività produttive che utilizzano le risorse di origine vegetale e animale. La sezione include attività di coltivazione (agricoltura), di allevamento di animali (zootecnia), di raccolta di legname e altre piante (silvicoltura), di cattura di animali in aree di allevamento o ripopolamento o nei loro habitat naturali.\nQuesta sezione include anche l'agricoltura biologica, l'acquacoltura, la coltivazione di colture geneticamente modificate e l'allevamento di animali geneticamente modificati.\nproduzione di beni indifferenziati per uso proprio da parte di famiglie e convivenze, cfr. 98.10"
"B","sezione","ATTIVITÀ ESTRATTIVE","L'attività estrattiva include l'estrazione dei minerali che si presentano in natura allo stato solido (carbone e minerali), liquido (petrolio) o gassoso (gas naturale). L'estrazione può essere effettuata utilizzando diversi metodi, come ad esempio l'impiego di miniere sotterranee o a cielo aperto, di pozzi, estrazioni marine.\nQuesta sezione include attività supplementari mirate alla preparazione dei materiali grezzi per la commercializzazione, come ad esempio, la frantumazione, la macinazione, il lavaggio, l'essiccazione, la cernita, la concentrazione di minerali e la liquefazione del gas naturale.\nLe attività estrattive sono classificate in divisioni, gruppi e classi in base al principale minerale prodotto. Le divisioni 05 e 06 riguardano l'estrazione di combustibili fossili (carbone, lignite, petrolio, gas); le divisioni 07 e 08 riguardano i minerali metalliferi, minerali vari e prodotti di cava.\nAlcune operazioni tecniche di questa sezione, in particolare legate all'estrazione di idrocarburi, possono anche essere effettuate da unità specializzate per conto terzi come servizi industriali; tali attività rientrano nella divisione 09.\nQuesta sezione include anche l'estrazione dello strato di copertura del sito minerario.\nulteriore lavorazione dei materiali estratti, cfr. sezione C\nimpiego dei materiali estratti senza un'ulteriore trasformazione a scopo di costruzione, cfr. sezione F\nimbottigliamento di acque naturali di fonte e di acque minerali alle sorgenti e ai pozzi, cfr. 11.07\nbonifica di siti minerari, cfr. 39.00"
"C","sezione","ATTIVITÀ MANIFATTURIERE","Questa sezione include la trasformazione fisica, meccanica, chimica o biologica di materiali, sostanze o componenti in nuovi prodotti, sebbene questo non sia l'unico criterio con cui è possibile definire le attività manifatturiere (cfr. nota sul trattamento dei rifiuti di sotto riportata). I materiali, le sostanze o i componenti trasformati sono materie prime o prodotti dell'agricoltura, della silvicoltura, della pesca, dell'estrazione mineraria o di altre attività manifatturiere. L'alterazione, la rigenerazione o la ricostruzione sostanziale dei prodotti sono in genere considerate attività manifatturiere.\nIl nuovo prodotto trasformato (ossia l'output di un processo manifatturiero) può essere finito, ossia pronto per l'utilizzo o il consumo, oppure può trattarsi di un prodotto semilavorato destinato ad un'ulteriore attività manifatturiera (ossia utilizzato come input per un'ulteriore attività manifatturiera). Ad esempio il prodotto della raffinazione di allumina viene utilizzato per la produzione di alluminio primario; l'alluminio primario viene utilizzato per la trafilatura dell'alluminio in fili e i fili di alluminio sono utilizzati per la fabbricazione di prodotti in fili di alluminio.\nLa fabbricazione di componenti e parti specialistiche, nonché di accessori e parti di macchinari e apparecchiature è di norma classificata nella stessa classe della fabbricazione dei macchinari e delle apparecchiature cui i componenti, le parti e gli accessori sono destinati. La fabbricazione di elementi (componenti e parti di macchinari e apparecchiature) non specialistici, come ad esempio, motori, pistoni, motori elettrici, gruppi elettrici, valvole, ingranaggi, cuscinetti a rulli, è classificata nella classe di produzione appropriata, a prescindere dai macchinari e delle attrezzature in cui questi articoli possono essere inclusi.\nLa fabbricazione di componenti e accessori specialistici tramite stampaggio o estrusione di materie plastiche è solitamente inclusa nel gruppo 22.2.\nL'assemblaggio dei componenti di prodotti lavorati rientra tra le attività manifatturiere. Include l'assemblaggio di prodotti realizzati tramite componenti prodotti in proprio (auto-prodotti) o acquistati.\nIl recupero di rifiuti, ossia la trasformazione di materiali di scarto in materie prime secondarie, è classificato all'interno del gruppo 38.2.\nNOTA: Le materie prime secondarie sono materiali e prodotti che possono essere utilizzati come materie prime attraverso il semplice riutilizzo, o tramite riciclaggio o recupero di rifiuti.\nSebbene possa implicare trasformazioni fisiche, meccaniche, biologiche o chimiche, questo processo non è considerato una attività manifatturiera. Lo scopo primario di queste attività è il trattamento o la lavorazione dei rifiuti, e sono quindi classificate nella sezione E. Tuttavia, la fabbricazione di nuovi prodotti a partire da materie prime secondarie è classificata come attività manifatturiera, anche se questi processi utilizzano i rifiuti come input. Per esempio, la produzione di argento dalle pellicole di scarto è considerato un processo manifatturiero.\nIn generale le attività di manutenzione specializzata e di riparazione di macchine e attrezzature industriali, commerciali e simili sono classificate nella divisione 33. Tuttavia, le attività di riparazione e manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli sono classificate nella divisione 95.\nL'installazione di macchinari e apparecchiature, se effettuata come attività specializzata, è classificata nella classe 33.20.\nLa manutenzione, la riparazione e l'installazione di attrezzature che costituiscono parte integrante di edifici o strutture simili, come ad esempio, la manutenzione, la riparazione e l'installazione di scale mobili o di impianti di condizionamento dell'aria, sono classificate come attività di costruzione nella sezione F, se sono eseguite in cantiere.\nQuesta sezione include anche l'attività dei c.d. Factoryless Goods producers (FGPs) nella manifattura (cfr. Linee guida introduttive, paragrafo xx)\nCome regola generale, le attività della sezione dedicata alla manifattura implicano la trasformazione di materiali in prodotti nuovi, ricostruiti e rigenerati. Il loro output è un prodotto nuovo.  A titolo di chiarimento, le seguenti attività sono considerate manifatturiere nella classificazione NACE, e quindi ATECO:\n- lavorazione di pesce fresco (sgusciatura delle ostriche, filettatura del pesce), non effettuate su un peschereccio, cfr. 10.20\n- pastorizzazione e imbottigliamento del latte, cfr. 10.51\n- trasformazione del cuoio, cfr. 15.11\n- conservazione del legno, cfr. 16.12\n- stampa e attività connesse, escluse le pubblicazioni, cfr. 18.1\n- rigenerazione di pneumatici, cfr. 22.11\n- produzione di calcestruzzo pronto all'uso, cfr. 23.63\n- galvanizzazione, galvanotecnica, placcatura eccetera e altri rivestimenti metallici o non metallici di metalli, cfr. 25.51\n- trattamento termico dei metalli, cfr. 25.52\n- ricarica di cartucce d'inchiostro, cfr. 26.20\n- ricostruzione o rifabbricazione di macchinari, ad esempio motori per autoveicoli, cfr. 29.10\n- riempimento o ricarica di estintori, cfr. 28.29\n- assemblaggio fornito da un venditore o miscelazione di diversi prodotti da vendere. Se l'assemblaggio è fornito da un appaltatore, questa attività deve essere classificata come attività manifatturiera.\nDi contro, vi sono attività che, pur comportando talvolta processi di trasformazione, sono classificate in altre sezioni della NACE; in altre parole, non sono considerate attività manifatturiere. Sono incluse:\n- utilizzo di aree forestali, cfr. sezione A\n- prima lavorazione di prodotti agricoli, cfr. sezione A\n- preparazione di alimenti per il consumo immediato sul posto, cfr. divisione 56\n- arricchimento di minerali, cfr. sezione B\n- produzione di combustibili gassosi per la fornitura di energia attraverso una rete permanente, cfr. sezione D\n- produzione di compost da rifiuti organici, cfr. sezione E\n- assemblaggio fornito come parte di una consegna o da un venditore. Tuttavia, se l'assemblaggio è l'attività principale fornita da un appaltatore, è classificato nella manifattura.\n- attività per il riordinamento di grosse partite di merci e loro ridistribuzione in partite più piccole, inclusi l'imballaggio, il riconfezionamento, o l'imbottigliamento di prodotti come ad esempio liquori o prodotti chimici; la cernita e la rivendita di cascami; la mescolatura di vernici e il taglio di metalli secondo l'ordine _x000D_
del cliente; servizi di trattamento che non determinano la produzione di una versione modificata dello stesso prodotto, cfr. sezione G\n- attività editoriali e attività editoriali combinate con attività di stampa, cfr. sezione J"
"D","sezione","FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA","Questa sezione include la produzione, lo stoccaggio, il controllo, la distribuzione, il commercio e l'intermediazione di energia elettrica o di combustibili gassosi con lo scopo di fornire energia attraverso una infrastruttura permanente (rete) con  linee, tubature e condotte.\nÈ inclusa la distribuzione di energia in complessi industriali o edifici residenziali.\nQuesta sezione include pertanto le attività di gestione delle utenze elettriche e del gas.\nLa sezione include anche il riscaldamento e il raffreddamento, ad esempio la fornitura di vapore e aria condizionata, attraverso una rete permanente.\nestrazione di gas naturale greggio, cfr. 06.20\nservizi di approvvigionamento idrico e di trattamento delle acque reflue, cfr. divisioni 36, 37\ntrasporto di gas attraverso gasdotti, cioè non attraverso la rete di distribuzione, cfr. 49.50"
"E","sezione","FORNITURA DI ACQUA; RETI FOGNARIE, ATTIVITÀ DI TRATTAMENTO DEI RIFIUTI E RISANAMENTO","Questa sezione include le attività legate alla gestione, ad esempio la raccolta, il pretrattamento, il recupero e lo smaltimento di varie forme di rifiuti, come i rifiuti solidi o non solidi industriali o domestici e la loro organizzazione.\nL'output del processo del trattamento dei rifiuti o delle acque reflue può essere smaltito o diventare un input per altri processi produttivi. Le materie prime secondarie sono materiali e prodotti che possono essere utilizzati come materie prime attraverso il semplice riutilizzo, il riciclaggio e il recupero di rifiuti. Anche le attività di approvvigionamento idrico sono raggruppate in questa sezione, poiché spesso sono svolte in connessione o da unità impegnate anche nel trattamento delle acque reflue.\nLe attività includono anche la bonifica di edifici e siti contaminati, suolo, acque superficiali e sotterranee (oceani, mangrovie, mari) eccetera.\nLe unità che di solito si fanno carico delle procedure di smaltimento dei rifiuti dei loro clienti e diventano clienti del trasportatore di rifiuti, e poi a loro volta fatturano ai loro clienti il servizio di smaltimento dei rifiuti, sono classificate nella divisione 38 perché, sebbene queste unità non forniscano direttamente i servizi corrispondenti, sono responsabili del loro adempimento. Questa attività è considerata come una completa esternalizzazione di un servizio.\nattività di commercio di rifiuti svolta in qualità di intermediari, cfr. 46.18\nattività di commercio di rifiuti svolta in qualità di grossisti, cfr. 46.87"
"F","sezione","COSTRUZIONI","Questa sezione include i lavori di costruzione generici e specializzati per la costruzione di edifici e di opere di ingegneria civile. Sono inclusi i nuovi lavori, le riparazioni, le aggiunte, le alterazioni, l'installazione (posa in opera) nei cantieri di edifici prefabbricati o di strutture così come le costruzioni di natura temporanea.\nI lavori di costruzione generali riguardano la costruzione di interi edifici, ad esempio abitazioni, uffici, negozi, e altri edifici pubblici e edifici di servizio o fabbricati rurali eccetera. Sono inclusi anche la costruzione di opere di ingegneria civile come autostrade, strade, ponti, gallerie, ferrovie, campi di aviazione, porti e altre opere idrauliche, la costruzione di sistemi di irrigazione e fognari, impianti industriali, condotte e linee elettriche, impianti sportivi eccetera.\nQuesti lavori possono essere eseguiti in conto proprio o su base remunerativa o contrattuale (per conto terzi). Parte dei lavori e talvolta anche il lavoro nel complesso possono essere effettuati in subappalto. Sono classificate in questa sezione anche le unità appaltatrici responsabili dei progetti di costruzione nella loro globalità.\nSono incluse anche le attività di ristrutturazione di edifici e le opere di ingegneria. La manutenzione, la riparazione e l'installazione di attrezzature che costituiscono parte integrante degli edifici, ad esempio scale mobili o sistemi di condizionamento dell'aria, sono classificate come attività di costruzione nella sezione F, se sono eseguite in cantiere.\nQuesta sezione include la costruzione di edifici nel loro complesso (divisione 41), le opere di ingegneria civile nel loro complesso (divisione 42), nonché i lavori di costruzione specializzati, se realizzati solo come parte del processo di costruzione (divisione 43).\nIl noleggio di attrezzature edili con operatore (manovratore) è classificato tra i lavori di costruzione specializzati effettuati con queste attrezzature.\nQuesta sezione include anche le attività di restauro, rinnovamento, ricostruzione e ammodernamento di siti ed edifici storici e archeologici.\noperazioni di fabbricazione non eseguite nel cantiere edile, cfr. sezione C\nfabbricazione e consegna di strutture e parti di edifici in legno o in metallo prefabbricati che richiedono solo un minimo di lavori di costruzione in loco (vale a dire nel sito di costruzione), cfr. divisioni 16, 25\nscavi archeologici, cfr. 72.2\nconservazione preventiva di siti ed edifici storici, cfr. 91.30"
"G","sezione","COMMERCIO ALL'INGROSSO E AL DETTAGLIO","Questa sezione include il commercio all'ingrosso e al dettaglio, vale a dire il commercio senza trasformazione, di ogni genere di beni, nonchè la fornitura di servizi accessori alla vendita di merci. I beni sono oggetti fisici, risultato di un processo di produzione, per i quali esiste una domanda, sui quali possono essere stabiliti diritti di proprietà e la cui proprietà può essere trasferita da un'unità all'altra attraverso transazioni sui mercati. Questa definizione è coerente con le definizioni e i concetti applicati nell'ambito della Bilancia dei pagamenti, della G20 Digital Economy Task Force, dell'Handbook on Measuring Digital Trade eccetera.\nIl commercio all'ingrosso e al dettaglio costituiscono le fasi finali della catena di distribuzione delle merci. A tal fine, vengono svolte attività ausiliarie (o ancillari o accessorie) (cfr. linee guida introduttive, capitolo xx), che includono una serie di operazioni (o manipolazioni) abitualmente associate al commercio, senza trasformazione delle merci. Tali operazioni (o manipolazioni) comprendono, ad esempio, la suddivisione, il riordinamento e il raggruppamento di merci, la miscelazione o il mescolamento di merci (come ad esempio, sabbia), l'imbottigliamento (preceduto o meno dalla pulizia delle bottiglie), l'imballaggio, la suddivisione di grosse partite di merci e il reimballaggio per la distribuzione in partite più piccole, l'immagazzinaggio (con o senza congelamento o refrigerazione). Se non vengono svolte come operazioni (o manipolazioni) abitualmente associate al commercio, le attività citate possono essere svolte come attività principali, secondarie o ausiliarie (o ancillari o accessorie) in altre sezioni della NACE.\nLa distinzione tra la divisione 46 (commercio all'ingrosso) e la divisione 47 (commercio al dettaglio) si basa sulla tipologia di clientela servita.\nIl commercio all'ingrosso (senza trasformazione) consiste nella rivendita di beni nuovi e usati ceduti a dettaglianti, nel commercio tra imprese (business-to-business), ad esempio a utenti industriali, commerciali, istituzionali o professionali, nella rivendita ad altri grossisti. Consiste inoltre nell'agire come agente o intermediario nell'acquisto di merci per la vendita a tali persone o società. Le principali tipologie di imprese che svolgono tale attività sono i grossisti commerciali, ossia i grossisti che possiedono dei beni che vendono, come i commercianti all'ingrosso, i distributori industriali, gli esportatori, gli importatori e le cooperative di acquisto, le concessionarie di vendita e gli uffici di vendita (ma non i negozi al dettaglio), gestiti da unità manifatturiere o estrattive separate dagli impianti di produzione o estrazione, allo scopo di commercializzare i loro prodotti e che non si limitano ad accettare ordini da evadere tramite consegne dirette dagli stabilimenti o dai siti minerari. Sono incluse in questa sezione anche le attività dei broker di merci e di beni, gli intermediari commerciali, gli agenti, gli assemblatori e gli acquirenti. Se il grossista non assume la proprietà delle merci che commercializza, deve essere classificato nel gruppo 46.1. Se il grossista assume la proprietà delle merci, anche se agisce per nome e per conto terzi, deve essere classificato nei gruppi 46.2-46.9.\nI grossisti spesso assemblano fisicamente, selezionano e suddividono le merci in lotti di grandi dimensioni, separano i prodotti sfusi, reimballano la merce e la ridistribuiscono in partite più piccole, come avviene ad esempio per i prodotti farmaceutici; conservano, surgelano, consegnano e installano le merci, si occupano della promozione delle vendite per i loro clienti e della progettazione delle etichettature.\nIl commercio al dettaglio (senza trasformazione) riguarda beni nuovi e usati ceduti al consumatore finale per il consumo o l'uso personale o domestico, indipendentemente dal canale di vendita utilizzato, in negozi, grandi magazzini, bancarelle o mercati, vendita per corrispondenza, venditori porta a porta, ambulanti, cooperative di consumatori, case d'asta eccetera. È inclusa la vendita di beni tramite showroom (dove i beni esposti possono essere acquistati), tramite punti vendita temporanei (come ad esempio i negozi pop-up), e in negozi al dettaglio automatizzati.\nLa maggior parte dei dettaglianti assume la proprietà delle merci che vende, ma alcuni agiscono come agenti per un committente e vendono o in conto vendita o su commissione. Se il dettagliante non assume la proprietà della merce che commercializza, deve essere classificato nel gruppo 47.9. Se il dettagliante assume la proprietà della merce, anche se agisce per nome e per conto terzi, deve essere classificato nei gruppi 47.1, 47.2, 47.3, 47.4, 47.5, 47.6, 47.7, 47.8.\nLa classificazione NACE non fa alcuna distinzione a livello di gruppo e di classe tra commercio al dettaglio in esercizi o negozi e online. La maggior parte delle attività di commercio al dettaglio si svolgono sia in negozio sia online (oltre che tramite altri canali di distribuzione); è difficile distinguere quale dei due canali di distribuzione/vendita prevale. La quota delle vendite online e in negozio può variare nel tempo, influenzando la stabilità della classificazione. Il principale criterio di classificazione del commercio al dettaglio nella NACE è quindi basato sulla tipologia di prodotti venduti e non sui canali di vendita utilizzati.\nIl commercio al dettaglio per corrispondenza o via Internet è classificato in base alla tipologia di beni venduti.\nLa distinzione tra commercio all'ingrosso e al dettaglio non si basa sulla quantità di merci vendute, poiché le vendite all'ingrosso potrebbero essere anche effettuate su base unitaria, così come le vendite al dettaglio potrebbero essere effettuate su base massiva. La distinzione principale tra commercio all'ingrosso e al dettaglio si fonda invece sulla diversa tipologia di cliente servito. I clienti del commercio all'ingrosso sono solitamente le imprese, mentre il commercio al dettaglio vende solitamente ai clienti finali. Se un commerciante vende indistintamente a clienti commerciali e finali, ed è praticamente impossibile distinguere la tipologia prevalente di clientela, si raccomanda di trattare l'unità come un dettagliante e quindi di classificarla all'interno del commercio al dettaglio.\nLa miscelazione di bevande da parte del produttore o dell'appaltatore è classificata come attività manifatturiera (sezione C). Se effettuata come operazione (o lavorazione) abituale associata al commercio, è considerata un'attività ausiliaria (o ancillare o accessoria) e integrata nella sezione G.\nQuesta sezione include anche le attività di commercio di transito che consistono nell'acquisto di merci, spostandole da un territorio doganale a un altro. Il commercio di transito rappresenta una transazione triangolare in cui l'operatore di transito effettua operazioni di esportazione e importazione tra due o più paesi diversi al di fuori del proprio territorio economico. L'operatore di transito è proprietario della merce durante il trasporto, a differenza degli intermediari che non assumono la proprietà della merce intermediata.\nQuesta sezione include anche i servizi di intermediazione per il commercio al dettaglio specializzato e non specializzato, cfr. 47.9.\nQuesta sezione include anche la vendita di alimenti e/o bevande tramite distributori automatici o punti vendita automatizzati.\ncommercio di energia elettrica, cfr. 35.15\ncommercio di combustibili gassosi per la fornitura di energia tramite reti di distribuzione, cfr. 35.23\ncommercio di beni digitali, streaming e download di contenuti su piattaforme digitali, ad esempio e-book, audio, cfr. sezione J\nattività di rivendita di carte telefoniche prepagate e relativi servizi, cfr. 61.20\nriparazione di autoveicoli e motocicli, cfr. divisione 95\nle associazioni cooperative sono classificate in base alla loro attività prevalente"
"H","sezione","TRASPORTO E MAGAZZINAGGIO","Questa sezione include il trasporto di passeggeri o merci per ferrovia, mediante condotte, su strada, per vie d'acqua o aereo. Il trasporto di passeggeri è effettuato indipendentemente dallo scopo del trasporto, sia per motivi personali che professionali o ricreativi, e può essere svolto su base regolare o meno.\nIl noleggio di mezzi di trasporto con conducente od operatore, nonché le attività postali e di corriere sono classificate in questa sezione.\nLa sezione include anche servizi di supporto come ad esempio la gestione di terminal e parcheggi, la movimentazione merci, l'immagazzinamento e lo stoccaggio quali attività ausiliarie al trasporto, la gestione di silos, magazzini merci, serbatoi o cisterne di stoccaggio.\nLe attività di trasporto classificate nelle divisioni 49, 50, 51, 53 spesso comportano attività connesse, quali ad esempio l'imballaggio, le operazioni di movimentazione merci, la campionatura e la pesatura delle merci, che sono esclusivamente di supporto alle attività di trasporto. Queste attività ausiliarie devono essere classificate nella divisione 52 solo se sono svolte per conto terzi.\nQuesta sezione include anche i servizi di intermediazione che mettono in contatto i clienti con i fornitori di servizi di trasporto (esclusi servizi di intermediazione classificati nella divisione 79).\nQuesta sezione include anche i servizi di ristorazione e bar effettuati dalle stesse imprese che effettuano il trasporto.\nriparazione, manutenzione o modifica di mezzi di trasporto (esclusi  autoveicoli), cfr. 33.1\ncostruzione, manutenzione e riparazione di strade, ferrovie, porti, campi di aviazione, cfr. divisione 42\nnoleggio di mezzi di trasporto senza conducente od operatore, cfr. 77.1, 77.3\nattività di trasporto come parte integrante di strutture ricreative, ad esempio nei parchi a tema, cfr. 93.2\nmanutenzione e riparazione di autoveicoli, cfr. 95.31\nmanutenzione e riparazione di motocicli, cfr. 95.32"
"I","sezione","ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE","Questa sezione include la fornitura di alloggi a breve termine (meno di un anno) per visitatori e altri viaggiatori, alloggi temporanei in camere singole o condivise o dormitori per studenti, lavoratori stagionali e altri individui, nonché la fornitura di pasti e bevande per il consumo immediato. La quantità e il tipo di servizi supplementari forniti in questa sezione possono variare notevolmente.\npreparazione di alimenti e bevande, cfr. sezione C\nrivendita di alimenti o bevande attraverso attività di commercio all'ingrosso o al dettaglio, cfr. sezione G\nfornitura di servizi di alloggio a lungo termine (un anno o più) come residenze primarie, cfr. sezione M"
"J","sezione","ATTIVITÀ EDITORIALI, TRASMISSIONI RADIOFONICHE E PRODUZIONE E DISTRIBUZIONE DI CONTENUTI","Questa sezione include la produzione e l'edizione, la trasmissione ed altre forme di  distribuzione di prodotti di informazione.\nQuesta sezione include le attività di edizione di libri, giornali, periodici e software (divisione 58), le attività di produzione di materiali per programmi cinematografici, video e televisivi, le attività di registrazione sonora e di editoria musicale (divisione 59) e le trasmissioni radiofoniche e televisive nonché le attività di produzione e distribuzione di programmi televisivi o radiofonici, incluse le attività di piattaforme di streaming, download e distribuzione (condivisione) di contenuti non associate all'edizione dei contenuti, le attività di blog e siti wiki, siti di social network e di siti di giochi/videogiochi online (divisione 60).\nLe attività editoriali riguardano l'acquisizione dei diritti d'autore di contenuti (prodotti di informazione) e l'erogazione di tali prodotti al pubblico attivando (o prendendo accordi per) la riproduzione e la distribuzione degli stessi in varie forme. Gli editori possono solo pubblicare e concedere in licenza i diritti ad altri per distribuire i loro contenuti, oppure possono pubblicare e distribuire i contenuti che creano o possiedono. In questa sezione sono incluse tutte le forme di editoria (in formato cartaceo, elettronico, digitale, analogico o in qualsiasi altra forma) e le attività editoriali per conto proprio.\nI singoli componenti della programmazione televisiva, come ad esempio film, serie televisive, sono prodotti da attività nella divisione 59, mentre la creazione di un palinsesto completo di un canale televisivo, da materiali prodotti nella divisione 59 o altri componenti (come ad esempio, la programmazione di notiziari in diretta) è inclusa nella divisione 60. La divisione 60 include anche la trasmissione di questa programmazione da parte del produttore.\nQuesta sezione include anche la creazione e il noleggio di diritti d'autore per i contenuti pubblicati.\ncommercio all'ingrosso e al dettaglio di supporti registrati, cfr. sezione G\nattività di fornitura di telecomunicazioni e attività di servizi connesse, vale a dire la trasmissione di voce, dati, testo, audio e video, attività di programmazione informatica, infrastrutture informatiche e attività di hosting e portali di ricerca web, cfr. sezione K\nfornitura di servizi finanziari e assicurativi tramite l'utilizzo di software e tecnologie informatiche specializzate in tali settori, cfr. sezione L\nnoleggio di DVD, cfr. sezione O\ngestione di diritti d'autore, cfr. 74.91\nattività di musicisti e attori indipendenti (inclusi influencer che compaiono in vlog o video blog), scrittori e blogger, i cui contenuti sono pubblicati da terzi, e  siti di gioco d'azzardo, cfr. sezione S"
