"main","code","level","title","description"
"A","01.1","gruppo","COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI","Questo gruppo include la coltivazione di colture non permanenti, vale a dire di piante che non durano più di due stagioni agricole. È inclusa la coltivazione di queste piante per la produzione di sementi."
"A","01.2","gruppo","COLTIVAZIONE DI COLTURE AGRICOLE PERMANENTI","Questo gruppo include la coltivazione di colture permanenti, vale a dire di piante che durano più di due stagioni agricole, che pur morendo alla fine di ogni stagione ricrescono in modo costante. È inclusa la coltivazione di queste piante per la produzione di sementi."
"A","01.3","gruppo","RIPRODUZIONE DELLE PIANTE",""
"A","01.4","gruppo","ALLEVAMENTO DI ANIMALI","Questo gruppo include le attività di allevamento e riproduzione di tutti gli animali, esclusa la fauna acquatica.\ngestione e cura del bestiame per conto terzi, cfr. 01.62\nproduzione di pelli (pellame grezzo) provenienti da macelli, cfr. 10.11"
"A","01.5","gruppo","COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA",""
"A","01.6","gruppo","ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA","Questo gruppo include le attività connesse alla produzione agricola e attività similari non finalizzate alla raccolta di prodotti agricoli, effettuate su base remunerativa o contrattuale (per conto terzi).\nSono incluse anche le attività che seguono la raccolta, mirate alla preparazione dei prodotti agricoli per il mercato primario."
"A","01.7","gruppo","CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI",""
"A","02.1","gruppo","SILVICOLTURA E ALTRE ATTIVITÀ FORESTALI",""
"A","02.2","gruppo","UTILIZZO DI AREE FORESTALI",""
"A","02.3","gruppo","RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI",""
"A","02.4","gruppo","SERVIZI DI SUPPORTO PER LA SILVICOLTURA",""
