main,code,title,description,exclusion_list,exclusion_description,exclusion_title,descriptor,level
A,01.11,"coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi","Questa classe include tutte le forme di coltivazione di cereali, legumi da granella e semi oleosi in piena aria. Queste coltivazioni sono spesso combinate all'interno delle stesse unità agricole. Sono escluse le seguenti attività: - coltivazione di riso, cfr. 01.12 - coltivazione di ortaggi, cfr. 01.13 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16 - produzione di sementi di piante da foraggio, cfr. 01.19 - coltivazione di tuberi da foraggio, cfr. 01.19 - coltivazione di mais da foraggio, cfr. 01.19 - coltivazione di frutti oleosi, cfr. 01.26","- coltivazione di riso, cfr. 01.12 - coltivazione di ortaggi, cfr. 01.13 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16 - produzione di sementi di piante da foraggio, cfr. 01.19 - coltivazione di tuberi da foraggio, cfr. 01.19 - coltivazione di mais da foraggio, cfr. 01.19 - coltivazione di frutti oleosi, cfr. 01.26",,,"# coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi

Questa classe include tutte le forme di coltivazione di cereali, legumi da granella e semi oleosi in piena aria. Queste coltivazioni sono spesso combinate all'interno delle stesse unità agricole. Sono escluse le seguenti attività: - coltivazione di riso, cfr. 01.12 - coltivazione di ortaggi, cfr. 01.13 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16 - produzione di sementi di piante da foraggio, cfr. 01.19 - coltivazione di tuberi da foraggio, cfr. 01.19 - coltivazione di mais da foraggio, cfr. 01.19 - coltivazione di frutti oleosi, cfr. 01.26

Questa sezione ATECO non comprende le seguenti attività:

- coltivazione di riso, cfr. 01.12 - coltivazione di ortaggi, cfr. 01.13 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16 - produzione di sementi di piante da foraggio, cfr. 01.19 - coltivazione di tuberi da foraggio, cfr. 01.19 - coltivazione di mais da foraggio, cfr. 01.19 - coltivazione di frutti oleosi, cfr. 01.26, 
",classe
A,01.12,coltivazione di riso,,,,,"# coltivazione di riso


",classe
A,01.13,"coltivazione di ortaggi e meloni, radici e tuberi","Sono escluse le seguenti attività: - coltivazione di mais, cfr. 01.11 - coltivazione di mais da foraggio, cfr. 01.19 - produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19 - coltivazione di fragole, cfr. 01.25 - coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28 - coltivazione di miceli, cfr. 01.30 - produzione di piantine di ortaggi per il trapianto, cfr. 01.30 - raccolta di funghi e tartufi selvatici, cfr. 02.30","- coltivazione di mais, cfr. 01.11 - coltivazione di mais da foraggio, cfr. 01.19 - produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19 - coltivazione di fragole, cfr. 01.25 - coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28 - coltivazione di miceli, cfr. 01.30 - produzione di piantine di ortaggi per il trapianto, cfr. 01.30 - raccolta di funghi e tartufi selvatici, cfr. 02.30",,,"# coltivazione di ortaggi e meloni, radici e tuberi

Sono escluse le seguenti attività: - coltivazione di mais, cfr. 01.11 - coltivazione di mais da foraggio, cfr. 01.19 - produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19 - coltivazione di fragole, cfr. 01.25 - coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28 - coltivazione di miceli, cfr. 01.30 - produzione di piantine di ortaggi per il trapianto, cfr. 01.30 - raccolta di funghi e tartufi selvatici, cfr. 02.30

Questa sezione ATECO non comprende le seguenti attività:

- coltivazione di mais, cfr. 01.11 - coltivazione di mais da foraggio, cfr. 01.19 - produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19 - coltivazione di fragole, cfr. 01.25 - coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28 - coltivazione di miceli, cfr. 01.30 - produzione di piantine di ortaggi per il trapianto, cfr. 01.30 - raccolta di funghi e tartufi selvatici, cfr. 02.30, 
",classe
A,01.14,coltivazione di canna da zucchero,"Sono escluse le seguenti attività: - coltivazione di barbabietola da zucchero, cfr. 01.13","- coltivazione di barbabietola da zucchero, cfr. 01.13",,,"# coltivazione di canna da zucchero

Sono escluse le seguenti attività: - coltivazione di barbabietola da zucchero, cfr. 01.13

Questa sezione ATECO non comprende le seguenti attività:

- coltivazione di barbabietola da zucchero, cfr. 01.13, 
",classe
A,01.15,coltivazione di tabacco,"Sono escluse le seguenti attività: - fabbricazione di prodotti a base di tabacco, cfr. 12.00","- fabbricazione di prodotti a base di tabacco, cfr. 12.00",,,"# coltivazione di tabacco

Sono escluse le seguenti attività: - fabbricazione di prodotti a base di tabacco, cfr. 12.00

Questa sezione ATECO non comprende le seguenti attività:

- fabbricazione di prodotti a base di tabacco, cfr. 12.00, 
",classe
A,01.16,coltivazione di piante tessili,,,,,"# coltivazione di piante tessili


",classe
A,01.19,floricoltura e coltivazione di altre colture non permanenti,"Sono escluse le seguenti attività: - coltivazione di mais, cfr. 01.11 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di luppolo, cfr. 01.28 - coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28 - produzione di piante ornamentali e piantine per fiori, cfr. 01.30 - produzione di semi di barbabietola da zucchero, cfr. 01.13","- coltivazione di mais, cfr. 01.11 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di luppolo, cfr. 01.28 - coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28 - produzione di piante ornamentali e piantine per fiori, cfr. 01.30 - produzione di semi di barbabietola da zucchero, cfr. 01.13",,,"# floricoltura e coltivazione di altre colture non permanenti

Sono escluse le seguenti attività: - coltivazione di mais, cfr. 01.11 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di luppolo, cfr. 01.28 - coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28 - produzione di piante ornamentali e piantine per fiori, cfr. 01.30 - produzione di semi di barbabietola da zucchero, cfr. 01.13

Questa sezione ATECO non comprende le seguenti attività:

- coltivazione di mais, cfr. 01.11 - coltivazione di granoturco dolce, cfr. 01.13 - coltivazione di luppolo, cfr. 01.28 - coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28 - produzione di piante ornamentali e piantine per fiori, cfr. 01.30 - produzione di semi di barbabietola da zucchero, cfr. 01.13, 
",classe
A,01.21,coltivazione di uva,"Sono escluse le seguenti attività: - produzione di vino da uve prevalentemente non di produzione propria, cfr. 11.02","- produzione di vino da uve prevalentemente non di produzione propria, cfr. 11.02",,,"# coltivazione di uva

Sono escluse le seguenti attività: - produzione di vino da uve prevalentemente non di produzione propria, cfr. 11.02

Questa sezione ATECO non comprende le seguenti attività:

- produzione di vino da uve prevalentemente non di produzione propria, cfr. 11.02, 
",classe
A,01.22,coltivazione di frutta di origine tropicale e subtropicale,,,,,"# coltivazione di frutta di origine tropicale e subtropicale


",classe
A,01.23,coltivazione di agrumi,,,,,"# coltivazione di agrumi


",classe
