text,code,code_level_2
lavorazione ceramiche,23.31.0,23
affitto immobili commerciali,68.20.0,68
RETTIFICA INDUSTRIALE CONTO TERZI,25.53.0,25
Tintoria,13.30.0,13
Produzione energia fonti rinnovabili,35.12.0,35
RESTAURO BENI ARCHITETTONICI ARTISTICI STORICI,91.30.0,91
produzione spine giunzione per mobili aste legno,16.23.0,16
confezione accessori per abbigliamento,14.29.0,14
PROGETTAZIONE FABBRICAZIONE COMMERCIO MACCHINE IMPIANTI INDUSTRIALI MESCOLATORI REATTORI ESSICATORI IMPASTATRICI MULINI RELATIVI ACCESSORI,28.93.0,28
finissaggio prodotti tessile,13.30.0,13
RIVENDITORE AUTO RENAULT DACIA,47.81.1,47
commercio all ingrosso accessori per abbigliamento,46.42.1,46
Vendita esplosivo per uso civile,46.85.0,46
affitto beni immobili merce,68.20.0,68
COMMERCIO PANNELLI,46.83.1,46
COMMERCIO DEL LEGNO AFFINI ALL INGROSSO DETTAGLIO,46.83.1,46
RIPARAZIONI MECCANICHE AUTOVEICOLI,95.31.1,95
CONSERVAZIONE RESTAURO OPERE ARTE,91.30.0,91
intermediaione rifiuti industriali,46.18.9,46
Prestazioni servizi logistici contabili amministrativi professionisti,69.20.0,69
MEDICINA DEL LAVORO,86.22.0,86
vendita viaggi biglietti trasporto,79.11.0,79
commercio dettaglio motocicli ricambi accessori,47.83.2,47
logistica,52.25.0,52
attivita delle agenzie viaggio,79.11.0,79
COMMERCIO PAVIMENTI LEGNO,46.83.1,46
revisioni autoveicoli,95.31.1,95
Fabbricazione articoli materie tessili nca,13,13
PRODUZIONE MATERIALI IMBALLAGGIO MATERIE PLASTICHE,22.22.0,22
manutenzione autoveicoli,95.31.1,95
produzione rigenerazione tamponi stampi per ceramica,28.99.9,28
NOLEGGIO MACCHINE PER UFFICIO,77.33.0,77
produzione tacchi applicazione sottotacchi per conto terzi,15.20.1,15
commercio ingrosso parti ricambio motori marini,46.64.1,46
MANUTENZIONE RIPARAZIONE REALIZZAZIONE IMPIANTI,28.29.9,28
parquets rifiniture interni,47.52.3,47
VENDITA CARBURANTE,47.30.0,47
Finitura componenti plastici altri materiali,16.27.0,16
affitto ramo azienda,68.20.0,68
installazione impianti antincendio,43.22.0,43
RIMESSAGGIO IMBARCAZIONI,52.22.0,52
RIPARAZIONE SOSTITUZIONE PENEUMATICI,95.31.3,95
commercio tessuti tecnici per colli polsi per camicie,46.41.1,46
pulizia automezzi,95.31.9,95
FABBRICAZIONE SCHEDE ELETTRONICHE PER IMPIANTI GPL METANO,26.11.0,26
PROVVIGIONI AGENTE RAPPRESENTANTE,46.1,46
commercio antiparassitari anticrittogamici insetticidi prodotti per agricoltura genere,46.85.0,46
commercio all ingrosso forni gas legna per uso domestico,46.83.2,46
Consulenza immobiliare,68.32.0,68
PRODUZIONE FONDI PER CALZATURE LEGNO SUGHERO PLASTICA,15.20.1,15
Servizi per animali domestici toelettatura pensione,96.99.1,96
Rilegature,18.14.0,18
LAVORAZIONE FINITURA ARTICOLI MATERIALI NON FERROSI,22.25.0,22
AGENZIE VIAGGIO,79.11.0,79
COMMERCIO DETTAGLIO ALTRI ARTICOLI PER INFANZIA,47.55.9,47
Restauro beni immobili sottoposti tutela,43.99.0,43
CARROZZERIA,95.31.2,95
HOLDING SOCIETA PRODUZIONE ENERGIA ELETTRICA FONTI RINNOVABILI,35.12.0,35
CARROZZERIA,95.31.2,95
altri servizi sostegno alle imprese,82.99.9,82
riparazione manutenzione armi per uso sportivo per caccia,33.11.0,33
CONFEZIONAMENTO NAMUALE,18.12.0,18
meccanica,46.72.0,46
Vendita merci dettaglio,47.83.1,47
VENDITA CICLI RICAMBI ACCESSORI CICLI MOTOCICLI,47.83.1,47
prestazioni per cambio pneumatici,95.31.3,95
restauro superfici decorate beni immobili del patrimonio culturale beni culturali mobili interesse storico artistico archeologico etnoantropologico,91.30.0,91
