QUERY,CIRCE,SEMANTIC,OVERLAP
creazione oggetti casa,"['47.59.2', '46.44.3']","['43.99.0', '43.91.0', '23.13.0', '32.99.3', '22.29.0', '98.10.0', '31.09.1', '31.02.0', '32.40.2', '16.23.2']",0
"il commercio, anche per conto terzi ed anche in qualita' di agente eo rappresentante, l'importazione e l'esportazione di autoveicoli",['45.11.0'],"['46.14.0', '79.11.0', '45.31.0', '45.11.0', '66.12.0', '45.19.0', '68.31.0', '02.40.0']",1
l     attivita svolta e  commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,['47.42.0'],"['46.52.0', '47.63.0', '47.41.0', '47.43.0', '47.54.0', '47.89.0', '47.42.0', '47.74.0', '47.19.2']",1
fabbricazione di birra,['11.05.0'],"['10.42.0', '11.05.0', '56.30.0', '23.14.0', '20.14.0', '23.19.9', '10.51.2', '26.20.0', '26.52.0', '26.11.0']",1
salone di  estetica,['96.02.0'],"['20.42.0', '86.23.0', '45.20.3', '86.22.0', '59.20.3', '96.02.0', '85.52.0', '92.00.0']",1
commercio al dettaglio ricambiper autoveicoli,"['47.30.0', '45.32.0', '45.11.0']","['47.78.4', '45.32.0', '47.52.1', '47.30.0', '45.31.0', '47.54.0', '45.11.0', '47.51.1', '45.19.0', '47.43.0']",1
commercio materiale edile,"['47.52.3', '46.13.0', '46.73.2']","['46.73.2', '47.52.1', '35.14.0', '47.78.3', '47.51.1', '46.47.1', '47.79.3', '47.52.3', '46.41.1', '47.79.2']",1
vendita corsi cinofili,['96.09.0'],"['46.38.9', '45.11.0', '46.23.0', '47.52.4', '85.51.0', '85.59.2', '45.19.0', '85.52.0', '46.75.0']",0
ricerca sulla popolazione,['72.19.0'],"['80.30.0', '73.20.0', '85.59.1', '78.10.0', '56.29.1', '72.11.0', '63.99.0', '72.19.0', '72.20.0', '96.09.0']",1
attivitonnesse e a supporto delle attivitgricole e zootecnia,['01.62.0'],"['93.19.9', '84.12.4', '94.99.4', '94.99.2', '01.61.0', '94.99.6', '09.10.0', '91.04.0', '85.60.0', '90.02.0']",0
consulenza tributaria e fiscale,['69.20.1'],"['66.19.2', '88.99.0', '74.90.3', '69.10.1', '70.22.0', '62.02.0', '74.90.2', '85.60.0', '69.20.1']",1
trasmissione e ricezione dati,['61.30.0'],"['63.11.1', '63.11.2', '82.19.0', '61.90.9', '52.29.2', '35.14.0', '33.20.0', '63.12.0', '36.00.0', '35.12.0']",0
commercio ferramenta utensileria,"['46.74.1', '47.52.1']","['25.73.1', '47.59.2', '47.52.1', '46.74.1', '47.78.3', '46.15.0', '46.62.0', '46.44.1', '46.49.9', '46.69.1']",1
servizio assistenza anziani,['87.10.0'],"['74.90.1', '87.30.0', '88.10.0', '53.20.0', '87.10.0', '96.02.0', '88.91.0', '49.42.0', '75.00.0', '96.09.0']",1
